epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-04-01,374,ES,Importados/Indefinidos,,city,2924,,16,142,-1,0.0486,,True,False
202114,2021-04-04,368,RS,Tramandaí,4321600,city,4499,8548.03162,20,143,1,0.0318,52632,True,False
202113,2021-04-03,345,PA,Paragominas,1505502,city,6059,5291.56441,0,143,0,0.0236,114503,True,False
202113,2021-04-03,361,SP,Olímpia,3533908,city,6389,11588.97152,7,143,1,0.0224,55130,True,False
202113,2021-03-31,347,GO,Inhumas,5210000,city,6292,11813.96571,21,143,9,0.0227,53259,True,False
202113,2021-03-31,351,SE,São Cristóvão,2806701,city,6045,6636.07522,34,143,1,0.0237,91093,True,False
202113,2021-04-03,368,PB,Cabedelo,2503209,city,6659,9683.42374,8,144,0,0.0216,68767,True,False
202113,2021-03-31,362,SE,Itabaiana,2802908,city,7682,7990.2644,104,144,0,0.0187,96142,True,False
202114,2021-04-04,316,RS,Canela,4304408,city,5283,11614.05206,1,145,1,0.0274,45488,True,False
202113,2021-04-03,363,CE,Crateús,2304103,city,7716,10266.23558,1,145,0,0.0188,75159,True,False
202113,2021-04-03,346,MA,Codó,2103307,city,2246,1824.29579,2,145,2,0.0646,123116,True,False
202113,2021-04-02,364,BA,Simões Filho,2930709,city,5712,4206.71218,22,145,0,0.0254,135783,True,False
202113,2021-04-02,364,PR,Rolândia,4122404,city,5349,7938.204,12,145,1,0.0271,67383,True,False
202113,2021-03-31,369,GO,Goianésia,5208608,city,7020,9876.89061,63,145,0,0.0207,71075,True,False
202113,2021-04-02,383,BA,Porto Seguro,2925303,city,7075,4696.06659,36,146,0,0.0206,150658,True,False
202113,2021-04-01,362,RJ,Itaperuna,3302205,city,5766,5554.91329,16,146,1,0.0253,103800,True,False
202113,2021-04-03,368,MA,Açailândia,2100055,city,4375,3867.54007,0,148,1,0.0338,113121,True,False
202113,2021-04-03,367,CE,Itapipoca,2306405,city,5823,4460.73587,50,150,1,0.0258,130539,True,False
202113,2021-04-03,334,MT,Sorriso,5107925,city,11719,12632.45265,31,150,2,0.0128,92769,True,False
202113,2021-04-02,365,SC,Araranguá,4201406,city,7769,11281.16514,22,150,1,0.0193,68867,True,False
202113,2021-03-31,367,GO,Itumbiara,5211503,city,6741,6370.91363,-1,150,0,0.0223,105809,True,False
202112,2021-03-21,367,MG,Poços de Caldas,3151800,city,5303,3144.54966,0,150,0,0.0283,168641,True,False
202114,2021-04-04,329,RS,São Borja,4318002,city,6162,10266.74886,22,151,0,0.0245,60019,True,False
202113,2021-04-01,367,ES,Viana,3205101,city,5812,7310.69182,28,151,1,0.026,79500,True,False
202114,2021-04-04,368,RS,Uruguaiana,4322400,city,6140,4839.75218,1,152,1,0.0248,126866,True,False
202113,2021-04-03,368,PA,Barcarena,1501303,city,7997,6295.51198,1,152,0,0.019,127027,True,False
202114,2021-04-04,380,RS,Lajeado,4311403,city,12078,14203.89731,0,154,0,0.0128,85033,True,False
202113,2021-04-03,363,PA,Cametá,1502103,city,6517,4676.24351,0,154,0,0.0236,139364,True,False
202113,2021-04-03,361,SP,Jales,3524808,city,4128,8390.07337,13,154,6,0.0373,49201,True,False
202113,2021-04-02,338,RO,Cacoal,1100049,city,9754,11355.98943,11,154,4,0.0158,85893,True,False
202113,2021-04-03,370,SP,Paulínia,3536505,city,10520,9392.60556,17,155,1,0.0147,112003,True,False
202114,2021-04-04,347,RS,Santa Clara do Sul,4316758,city,11841,177233.94701,11476,156,151,0.0132,6681,True,False
202113,2021-04-01,355,RJ,Saquarema,3305505,city,2017,2226.68713,16,156,0,0.0773,90583,True,False
202114,2021-04-04,319,RS,Parobé,4314050,city,5287,8982.63618,59,157,3,0.0297,58858,True,False
202113,2021-04-03,367,SP,Assis,3504008,city,5612,5340.33705,45,157,5,0.028,105087,True,False
